,상호명,자치구,신주소,X좌표(WGS84),Y좌표(WGS84)
0,1898 명동성당 ,중구,"서울 중구 명동길 74 (명동2가, 명동성당)",126.986775823267,37.5636758699882
1,SeMA 벙커 ,영등포구,서울 영등포구 의사당대로 지하 101 (여의도역),126.923968896383,37.5219069359564
2,삼우치킨센타,영등포구,서울 영등포구 시흥대로 671 (대림동),126.90815760996,37.4916433823343
3,63스퀘어,영등포구,"서울 영등포구 63로 50 (여의도동, 63한화생명빌딩)",126.939909338068,37.5196641552816
4,PKM갤러리,종로구,"서울 종로구 삼청로7길 40 (삼청동, 피케이엠 갤러리)",126.980082350686,37.5840916531266
5,롯데월드타워 물품보관소,송파구,"서울 송파구 올림픽로 300 (신천동, 롯데월드타워앤드롯데월드몰)",127.104301829165,37.5137129859207
6,돈의문역사관,종로구,서울 종로구 새문안로 35-54 (신문로2가),126.968779117404,37.5692197342866
7,살곶이다리（전곶교）,성동구,서울 성동구 행당동 61-1,127.045468943168,37.5540825979594
8,목노집,은평구,서울 은평구 연서로28길 10 (대조동),126.920981012189,37.6177797860508
9,HYBE INSIGHT (하이브 뮤지엄),용산구,"서울 용산구 한강대로 42 (한강로3가, 용산트레이드센터) 하이브 인사이트 지하 1, 2층",126.964197674537,37.5245456464592
10,수유어묵공장,강북구,서울 강북구 도봉로67길 18,127.022668132796,37.6307289053601
11,봉화묵집,성북구,서울 성북구 아리랑로19길 46-2,127.010747622706,37.6027138226589
12,국선옻칠,종로구,서울 종로구 창경궁로 88 광장3층 2390호,126.999798964693,37.5701196320637
13,서울시립미술관 (서소문본관),중구,"서울 중구 덕수궁길 61 (서소문동, 서울시립미술관)",126.973699316136,37.5641060692766
14,위안부 '기억의 터',중구,서울 중구 퇴계로26가길 6 (예장동) 서울종합방재센터,126.99026627798,37.5590886943831
15,성수구름다리,성동구,서울 성동구 강변북로 257,127.041603887629,37.5389616567303
16,서울기록원,은평구,"서울 은평구 통일로62길 7 (녹번동, 서울기록원)",126.934431196604,37.6072253744222
17,서울레코드,종로구,서울 종로구 종로 154,126.994616749008,37.5702578122921
18,SJ쿤스트할레,강남구,서울 강남구 언주로148길 5 (논현동),127.034917264221,37.5205086087205
19,국립중앙박물관,용산구,서울 용산구 서빙고로 137 (국립중앙박물관),126.977740246542,37.5247022357875
20,라칸티나 ,중구,"서울 중구 을지로 19 (을지로1가, 삼성빌딩) 삼성빌딩 지하 1층",126.979957145213,37.5663064488484
21,문화역서울 284,중구,서울 중구 통일로 1 (서울역 본옥),126.971594506836,37.5560408483984
22,명동역 물품보관소,중구,"서울 중구 퇴계로 지하 126 (충무로2가, 명동역 4호선)",126.985947030389,37.5609100751113
23,배재학당역사박물관,중구,"서울특별시 중구 서소문로11길 19, 배재정동빌딩 동관 (정동)",126.972089131199,37.5637878280982
24,신당역 물품보관소,중구,"서울 중구 다산로 지하 260 (흥인동, 신당역 6호선)",127.016153533586,37.5662738884121
25,국립중앙도서관,서초구,서울특별시 서초구 반포대로 201 (반포동),127.003227919207,37.4974225959085
26,서대문형무소역사관,서대문구,"서울 서대문구 통일로 251 (현저동, 독립공원)",126.955611774864,37.5746085138333
27,신세계백화점 물품보관소,중구,"서울 중구 퇴계로 77 (충무로1가, 신세계백화점)",126.980823104019,37.5603438884295
28,선정릉(선릉),강남구,서울특별시 강남구 선릉로100길 1 (삼성동),127.047165945717,37.5073677154051
29,서울로7017,중구,"서울 중구 청파로 432 (봉래동2가, 코레일서울본부)",126.969772737969,37.5580093456227
30,짚풀생활사박물관,종로구,서울 종로구 성균관로4길 45 (명륜2가),126.999842853497,37.5849058490839
31,서울로봇인공지능과학관(RAIM),도봉구,서울 도봉구 마들로13길 56 (창동),127.049506212905,37.6555838047766
32,세빛섬,서초구,서울 서초구 올림픽대로 2085-14 (반포동),126.995962256954,37.5124362037118
33,송은(SONGEUN),강남구,서울 강남구 도산대로 441 (청담동),127.044120642323,37.5241627891516
34,세운상가,종로구,"서울 종로구 청계천로 159 (장사동, 세운상가)",126.995239727442,37.5692814302828
35,지대방,종로구,서울 종로구 인사동길 33 2층,126.985508845877,37.5734820676018
36,숙정문,성북구,"서울 성북구 대사관로 1 (성북동, 홍련사(조계종))",126.98342224198,37.5968606715659
37,서촌한옥마을,종로구,서울 종로구 필운대로 45 (누하동),126.968508490721,37.5801925160173
38,신당창작아케이드,중구,서울 중구 마장로 87 (황학동) 신당지하쇼핑센터,127.019357377705,37.568494451339
39,떡박물관,종로구,"서울 종로구 돈화문로 71 (와룡동, 떡박물관)",126.990638129224,37.5748995802783
40,안동교회 소허당,종로구,서울 종로구 윤보선길 57 (안동교회),126.983158150038,37.5783809132476
41,짐프리 물품보관소,마포구,"서울 마포구 양화로 161 (동교동, 케이스퀘어)",126.923315607444,37.5569362179065
42,창신동 절벽마을,종로구,서울 종로구 낙산5길 51,127.011596787935,37.5782558563534
43,아르코 미술관,종로구,"서울 종로구 동숭길 3 (동숭동, 한국문화예술진흥원)",127.003256182632,37.5805022887696
44,피겨앤그라운드,강남구,"서울 강남구 논현로153길 53 (신사동, 피겨앤그라운드)",127.023901473322,37.5201623030796
45,운현궁 ,종로구,서울 종로구 삼일대로 464 (운현궁),126.986981427118,37.5756967940777
46,롯데월드 민속박물관,송파구,"서울 송파구 올림픽로 240 (잠실동, 롯데월드)",127.098141751177,37.5113096112036
47,석파정,종로구,서울 종로구 창의문로11길 4-1,126.962428778162,37.5949660263908
48,명동성당,중구,서울 중구 명동길 74 (명동성당),126.986775823267,37.5636758699882
49,안중근의사기념관,중구,"서울 중구 소월로 91 (남대문로5가, 안중근의사기념관)",126.980404324804,37.5534684886426
50,고려대학교 본관 및 구 중앙도서관,성북구,"서울 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스)",127.031698331241,37.5887034223667
51,명동함흥면옥,중구,서울 중구 명동10길 35-19 (명동2가),126.985685790889,37.5627701513326
52,을지로 노가리 골목,중구,서울 중구 충무로9길 12 (을지로3가),126.991821171194,37.5669876682873
53,만나분식,강남구,"서울 강남구 삼성로 212 (대치동, 은마아파트)",127.065915414443,37.4996157705058
54,백인제가옥,종로구,서울 종로구 북촌로7길 16 (가회동),126.984092922693,37.5804450398958
55,별마당 도서관,강남구,"서울 강남구 영동대로 513 (삼성동, 코엑스)",127.059159043842,37.5118239121138
56,만나분식,종로구,서울 종로구 필운대로1길 4 1층,126.969094847948,37.5773603962147
57,봉황각,강북구,서울특별시 강북구 삼양로173길 107-12 (우이동),127.006060325301,37.6601985055374
58,연세대학교 스팀슨관&언더우드관&아펜젤러관,서대문구,서울특별시 서대문구 연세로 50 (신촌동),126.943916239886,37.5660508394158
59,종묘돌담길,종로구,서울 종로구 권농동 104-1,126.992242739442,37.5741874602965
60,잠실역 물품보관소,송파구,"서울 송파구 올림픽로 지하 265 (신천동, 잠실역2호선)",127.101857941447,37.513859279255
61,장수갈비집본가,중구,서울 중구 명동2길 54-1 (충무로1가),126.983126635022,37.5610101668668
62,창의문,종로구,서울특별시 종로구 창의문로 118 (부암동),126.966495700565,37.5926044901685
63,가무,중구,서울 중구 명동4길 16,126.983615711878,37.5629934194387
64,사육신공원,동작구,"서울 동작구 노량진로 191 (노량진동, 사육신묘지공원)",126.949411135441,37.5134579901091
65,서울메트로미술관,종로구,"서울 종로구 사직로 지하 130 (적선동, 3호선 경복궁역)",126.973062710191,37.5758613027702
66,삼성출판박물관,종로구,"서울 종로구 비봉길 2-2 (구기동, 삼성출판박물관)",126.957092157442,37.6086660197949
67,aT센터,서초구,"서울 서초구 강남대로 27 (양재동, AT센터)",127.039136433366,37.4682787075426
68,상진다방,영등포구,"서울 영등포구 도림로133길 9 (문래동2가, 상진빌딩)",126.894526762351,37.5134993088594
69,가나아트센터,종로구,서울 종로구 평창30길 28 (가나아트센타),126.97512913242,37.6122904729365
